Number of threads,Real time,Time in kernel mode,Time in user mode,Percentage of time on CPU,Max size,Number of major page faults,Avg unshared data,,41.87
1,41.87,41.79,0.02,99%,27324,0,0,,17.52
2,17.52,34.12,0.03,194%,27256,0,0,,7.64
3,7.64,14.86,0.02,194%,27448,0,0,,7.53
4,7.53,14.74,0.01,195%,27452,0,0,,7.82
5,7.82,15.37,0.01,196%,27472,0,0,,17.17
6,17.17,33.98,0.02,198%,27484,0,0,,7.73
7,7.73,15.31,0.02,198%,27492,0,0,,7.72
8,7.72,15.32,0.02,198%,27500,0,0,,7.58
9,7.58,15.02,0.02,198%,27508,0,0,,17.2
10,17.2,34.25,0.02,199%,27492,0,0,,7.99
11,7.99,15.26,0.02,191%,27512,0,0,,7.49
12,7.49,14.71,0.02,196%,27536,0,0,,8.07
13,8.07,15.23,0.01,189%,27544,0,0,,7.63
14,7.63,14.68,0,192%,27548,0,0,,6.84
15,6.84,13.59,0.01,198%,27556,0,0,,7.48
16,7.48,14.86,0.01,198%,27540,0,0,,7.68
17,7.68,15.24,0.01,198%,27580,0,0,,7.56
18,7.56,15,0.01,198%,27588,0,0,,6.87
19,6.87,13.65,0.01,198%,27592,0,0,,6.89
20,6.89,13.6,0.02,197%,27560,0,0,,6.88
21,6.88,13.64,0.01,198%,27616,0,0,,6.99
22,6.99,13.63,0.02,195%,27608,0,0,,7.51
23,7.51,14.89,0.01,198%,27628,0,0,,6.85
24,6.85,13.58,0.02,198%,27620,0,0,,7.46
25,7.46,14.82,0.01,198%,27632,0,0,,6.87
26,6.87,13.63,0.01,198%,27652,0,0,,9.85
27,9.85,19.58,0.01,198%,27656,0,0,,7.74
28,7.74,15.32,0.02,198%,27640,0,0,,7.29
29,7.29,13.67,0.02,187%,27660,0,0,,8.03
30,8.03,15.24,0.02,190%,27692,0,0,,7.41
31,7.41,14.71,0.02,198%,27692,0,0,,6.87
32,6.87,13.64,0.02,198%,27708,0,0,,7.39
33,7.39,14.67,0.01,198%,27716,0,0,,7.53
34,7.53,14.78,0.02,196%,27728,0,0,,11.15
35,11.15,21.59,0.01,193%,27736,0,0,,7.01
36,7.01,13.71,0.02,195%,27672,0,0,,7.69
37,7.69,15.1,0.02,196%,27704,0,0,,7.66
38,7.66,15.09,0.02,197%,27740,0,0,,7.59
39,7.59,15.05,0.02,198%,27768,0,0,,7.54
40,7.54,14.92,0.02,198%,27776,0,0,,7.68
41,7.68,14.99,0.02,195%,27784,0,0,,7.42
42,7.42,14.72,0.02,198%,27752,0,0,,6.9
43,6.9,13.69,0.02,198%,27700,0,0,,6.91
44,6.91,13.66,0.01,197%,27808,0,0,,7.75
45,7.75,15.34,0.02,198%,27808,0,0,,7.12
46,7.12,13.68,0.03,192%,27828,0,0,,7.16
47,7.16,13.66,0.02,191%,27836,0,0,,6.9
48,6.9,13.62,0.02,197%,27828,0,0,,7.68
49,7.68,15.13,0.02,197%,27764,0,0,,7.7
50,7.7,15.13,0.03,197%,27832,0,0,,7.78
51,7.78,15.3,0.02,196%,27856,0,0,,7.87
52,7.87,15.4,0.03,196%,27696,0,0,,6.95
53,6.95,13.7,0.02,197%,27888,0,0,,7.84
54,7.84,15.39,0.02,196%,27892,0,0,,7.8
55,7.8,15.43,0.01,197%,27908,0,0,,7.63
56,7.63,15.05,0.02,197%,27908,0,0,,7.87
57,7.87,15.4,0.02,195%,27920,0,0,,7.84
58,7.84,15.07,0.03,192%,27932,0,0,,7.65
59,7.65,14.71,0.02,192%,27936,0,0,,7.26
60,7.26,13.73,0.01,189%,27948,0,0,,7.12
61,7.12,13.67,0.02,192%,27944,0,0,,7.64
62,7.64,14.8,0.04,194%,27960,0,0,,8.04
63,8.04,15.27,0.03,190%,27976,0,0,,7.9
64,7.9,15.29,0.02,193%,27980,0,0,,7.89
65,7.89,15.44,0.04,196%,27988,0,0,,7.61
66,7.61,15.01,0.01,197%,28000,0,0,,7.16
67,7.16,13.72,0.03,191%,27976,0,0,,7.82
68,7.82,15.33,0.03,196%,28008,0,0,,7.57
69,7.57,14.8,0.06,196%,31304,0,0,,7.95
70,7.95,15.53,0.06,196%,27980,0,0,,7
71,7,13.73,0.04,196%,28044,0,0,,7.12
72,7.12,13.76,0.03,193%,28052,0,0,,7.31
73,7.31,13.85,0.04,190%,28024,0,0,,6.95
74,6.95,13.73,0.01,197%,28072,0,0,,7.74
75,7.74,15.26,0.05,197%,28080,0,0,,7.82
76,7.82,15.17,0.05,194%,28084,0,0,,7.01
77,7.01,13.73,0.04,196%,28040,0,0,,6.99
78,6.99,13.73,0.04,196%,28092,0,0,,7.64
79,7.64,15.08,0.04,197%,28004,0,0,,7.78
80,7.78,15.25,0.04,196%,28124,0,0,,7.1
81,7.1,13.76,0.04,194%,28048,0,0,,6.99
82,6.99,13.72,0.05,197%,28068,0,0,,7.04
83,7.04,13.71,0.01,194%,27920,0,0,,7.79
84,7.79,15.26,0.01,196%,28116,0,0,,7.76
85,7.76,15.24,0.04,197%,28136,0,0,,7.82
86,7.82,15.32,0.04,196%,28160,0,0,,7.45
87,7.45,14.7,0.01,197%,28168,0,0,,6.96
88,6.96,13.74,0.05,197%,28192,0,0,,7.86
89,7.86,15.4,0.01,196%,28196,0,0,,7.43
90,7.43,14.38,0.05,194%,28144,0,0,,7.1
91,7.1,13.76,0.04,194%,28216,0,0,,7.06
92,7.06,13.69,0.02,194%,28228,0,0,,7.1
93,7.1,13.82,0.04,194%,28236,0,0,,7.75
94,7.75,15.26,0.04,197%,28232,0,0,,7.04
95,7.04,13.75,0.05,196%,28244,0,0,,7.03
96,7.03,13.67,0.01,194%,28192,0,0,,7.65
97,7.65,14.94,0.02,195%,28052,0,0,,7.74
98,7.74,15.21,0.04,196%,28272,0,0,,7.71
99,7.71,15.19,0.06,197%,28284,0,0,,7.7
100,7.7,15.07,0.05,196%,28292,0,0,,
