Number of threads,Real time,Time in kernel mode,Time in user mode,Percentage of time on CPU,Max size,Number of major page faults,Avg unshared data
1,13.66,13.63,0.01,99%,27384,0,0
2,7.43,14.78,0.01,198%,27448,0,0
3,4.73,13.84,0.01,292%,27384,0,0
4,3.97,15.31,0.01,385%,27384,0,0
5,4.07,15.25,0.01,375%,27476,0,0
6,3.77,14.31,0.02,379%,27484,0,0
7,4.06,15.59,0,383%,27496,0,0
8,3.51,13.66,0.01,389%,27504,0,0
9,3.82,14.79,0.02,387%,27512,0,0
10,3.93,15.17,0.01,385%,27516,0,0
11,3.91,15.14,0.01,387%,27524,0,0
12,3.57,13.72,0.01,384%,27516,0,0
13,3.86,14.82,0.01,383%,27516,0,0
14,3.54,13.61,0.01,384%,27552,0,0
15,3.82,14.64,0.02,384%,27556,0,0
16,3.82,14.64,0.02,384%,27560,0,0
17,4,15.28,0.01,382%,27576,0,0
18,3.89,14.88,0.01,382%,30948,0,0
19,3.55,13.8,0.02,388%,27592,0,0
20,3.86,15.01,0.02,388%,27584,0,0
21,3.91,15.29,0.01,390%,27608,0,0
22,3.97,15.48,0.01,389%,27604,0,0
23,3.85,15.17,0.02,393%,27596,0,0
24,3.49,13.71,0.02,392%,27636,0,0
25,3.79,14.89,0.01,393%,27644,0,0
26,3.81,14.98,0.01,393%,27628,0,0
27,3.46,13.6,0.01,393%,27664,0,0
28,3.77,14.82,0.01,393%,27652,0,0
29,3.74,14.71,0.01,393%,27576,0,0
30,3.84,15.12,0.01,393%,27512,0,0
31,3.76,14.79,0,393%,27700,0,0
32,3.72,14.62,0.03,393%,27700,0,0
33,3.87,15.25,0.01,393%,27676,0,0
34,3.94,15.48,0.02,393%,27724,0,0
35,3.55,13.85,0.02,390%,27736,0,0
36,3.48,13.68,0.02,393%,27744,0,0
37,3.87,15.2,0.01,392%,27748,0,0
38,3.81,14.98,0.02,393%,27716,0,0
39,3.49,13.69,0.02,392%,27768,0,0
40,3.49,13.71,0.01,392%,27748,0,0
41,3.85,15.07,0.01,391%,27764,0,0
42,3.56,13.98,0.02,392%,27704,0,0
43,3.83,15.04,0.01,393%,27800,0,0
44,3.76,14.61,0.02,388%,27812,0,0
45,3.77,14.68,0.01,389%,27772,0,0
46,3.49,13.65,0.01,391%,27776,0,0
47,3.74,14.67,0.02,392%,27692,0,0
48,3.73,14.65,0.02,392%,27844,0,0
49,3.5,13.64,0.01,389%,27844,0,0
50,3.51,13.71,0.02,391%,27864,0,0
51,3.51,13.67,0.02,389%,27864,0,0
52,3.57,13.89,0.02,389%,27852,0,0
53,3.91,15.29,0.02,391%,27892,0,0
54,3.94,15.36,0.02,390%,27896,0,0
55,3.92,15.32,0.02,391%,27908,0,0
56,3.75,14.68,0.03,391%,31596,0,0
57,3.87,15.15,0.02,391%,27900,0,0
58,3.93,15.42,0.03,392%,27796,0,0
59,3.92,15.27,0.03,390%,27940,0,0
60,3.54,13.75,0.01,388%,27852,0,0
61,3.85,15.06,0.02,391%,27948,0,0
62,3.52,13.63,0.02,387%,27920,0,0
63,3.8,14.75,0.02,388%,27880,0,0
64,3.59,13.85,0.03,386%,27924,0,0
65,3.85,14.86,0.02,386%,27988,0,0
66,3.56,13.79,0.02,388%,27980,0,0
67,3.83,14.96,0.02,391%,27984,0,0
68,3.77,14.75,0.02,391%,28016,0,0
69,3.8,14.85,0.02,390%,28016,0,0
70,3.61,13.96,0.02,387%,28024,0,0
71,3.51,13.68,0.03,390%,28044,0,0
72,3.84,15.01,0.03,391%,31516,0,0
73,3.87,15.07,0.02,390%,28004,0,0
74,3.82,14.87,0.03,390%,31484,0,0
75,3.97,15.48,0.03,390%,28076,0,0
76,3.88,15.17,0.02,391%,28080,0,0
77,3.66,14.29,0.02,390%,28088,0,0
78,3.9,15.28,0.02,391%,28104,0,0
79,3.88,14.97,0.02,385%,28084,0,0
80,3.84,14.95,0.03,390%,28100,0,0
81,3.81,14.87,0.04,390%,31604,0,0
82,3.87,15.19,0.01,392%,28136,0,0
83,3.63,14.04,0.03,387%,28140,0,0
84,3.83,14.9,0.04,389%,31696,0,0
85,3.71,14.29,0.03,386%,28128,0,0
86,4.13,16.02,0.04,388%,31456,0,0
87,3.87,15.15,0.01,391%,28160,0,0
88,3.55,13.72,0.04,387%,28192,0,0
89,3.95,15.33,0.04,388%,28172,0,0
90,3.9,15.15,0.04,388%,28204,0,0
91,3.82,14.86,0.01,389%,28160,0,0
92,3.8,14.82,0.02,390%,28224,0,0
93,4.01,15.59,0.04,389%,28236,0,0
94,3.56,13.82,0.04,388%,28200,0,0
95,3.83,14.86,0.05,389%,31920,0,0
96,3.9,15.11,0.04,388%,28256,0,0
97,3.85,15.08,0.02,391%,28228,0,0
98,3.55,13.66,0.04,385%,28224,0,0
99,3.91,15.3,0.02,391%,28288,0,0
100,3.61,13.76,0.04,382%,28276,0,0
