Number of threads,Real time,Time in kernel mode,Time in user mode,Percent of CPU time,Max size,Number of filesystem Inputs,Number of filesystem Outputs,Number of signals delivered to process,,,,53.37,53.3
1,53.37,0,0.01,1476,40,0,0,,,,,36.27,36.27
2,36.27,0,0.02,1484,0,0,0,,,,,22.68,22.68
3,22.68,0,0.01,1488,0,0,0,,,,,19.26,19.26
4,19.26,0.01,0.01,1500,0,0,0,,,,,13.46,13.46
5,13.46,0,0.01,1500,0,0,0,,,,,13.8,13.8
6,13.8,0.01,0.01,1500,0,0,0,,,,,13.14,13.15
7,13.14,0.01,0.01,1504,0,0,0,,,,,12.3,12.29
8,12.3,0.01,0.01,1508,0,0,0,,,,,8.46,8.46
9,8.46,0,0.01,1516,0,0,0,,,,,9.09,9.09
10,9.09,0.01,0.01,1524,0,0,0,,,,,7.47,7.47
11,7.47,0,0.02,1532,0,0,0,,,,,7.32,7.32
12,7.32,0,0.01,1540,0,0,0,,,,,8.03,8.03
13,8.03,0,0.01,1548,0,0,0,,,,,7.31,7.31
14,7.31,0.01,0.01,1556,0,0,0,,,,,7.16,7.16
15,7.16,0.01,0.01,1568,0,0,0,,,,,9.22,9.21
16,9.22,0,0.01,5444,0,0,0,,,,,6.25,6.25
17,6.25,0.01,0.01,1580,0,0,0,,,,,5.32,5.32
18,5.32,0.01,0,1592,0,0,0,,,,,5.89,5.89
19,5.89,0,0.02,1600,0,0,0,,,,,5.29,5.29
20,5.29,0.01,0.01,1612,0,0,0,,,,,6.25,6.25
21,6.25,0.01,0.01,1620,0,0,0,,,,,6.08,6.08
22,6.08,0,0.01,5700,0,0,0,,,,,5.42,5.41
23,5.42,0.01,0.01,1636,0,0,0,,,,,4.77,4.77
24,4.77,0.01,0.01,1644,0,0,0,,,,,4.36,4.36
25,4.36,0,0.02,1652,0,0,0,,,,,5.02,5.02
26,5.02,0.01,0.01,1660,0,0,0,,,,,3.59,3.58
27,3.59,0,0.01,1672,0,0,0,,,,,4.63,4.63
28,4.63,0,0.01,1680,0,0,0,,,,,4.5,4.5
29,4.5,0.01,0.01,1688,0,0,0,,,,,4.17,4.17
30,4.17,0,0.01,1696,0,0,0,,,,,3.2,3.2
31,3.2,0.01,0.01,1704,0,0,0,,,,,5.27,5.27
32,5.27,0,0.01,1712,0,0,0,,,,,4.2,4.19
33,4.2,0.01,0.02,1716,0,0,0,,,,,4.17,4.17
34,4.17,0.01,0.01,1732,0,0,0,,,,,4.51,4.51
35,4.51,0.01,0.01,1740,0,0,0,,,,,4.63,4.63
36,4.63,0.01,0.01,1748,0,0,0,,,,,3.41,3.4
37,3.41,0,0.01,5700,0,0,0,,,,,5.02,5.02
38,5.02,0,0.01,1764,0,0,0,,,,,5.36,5.36
39,5.36,0.01,0.01,1772,0,0,0,,,,,4.04,4.03
